"Agent","Cycle","Vertical","Priority","KPI","File"
"ObjectionCrusher","cycle-03","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-03/objection-crusher.agent.md"
"PersonalizationEngine","cycle-03","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-03/personalization-engine.agent.md"
"RoutingTrafficCop","cycle-03","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-03/routing-traffic-cop.agent.md"
"TargetScraper","cycle-03","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-03/target-scraper.agent.md"
"TriggerEventWatcher","cycle-03","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-03/trigger-event-watcher.agent.md"
"VoicemailDropper","cycle-03","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-03/voicemail-dropper.agent.md"
"WebinarNurturer","cycle-03","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-03/webinar-nurturer.agent.md"
"ActivityAnalyzer","cycle-04","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-04/activity-analyzer.agent.md"
"AnnualReportAnalyzer","cycle-04","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-04/annual-report-analyzer.agent.md"
"CompetitorDisplacement","cycle-04","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-04/competitor-displacement.agent.md"
"ContentToLead","cycle-04","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-04/content-to-lead.agent.md"
"ConversionForecaster","cycle-04","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-04/conversion-forecaster.agent.md"
"EventQualifier","cycle-04","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-04/event-qualifier.agent.md"
"GamificationMaster","cycle-04","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-04/gamification-master.agent.md"
"GatekeeperBypass","cycle-04","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-04/gatekeeper-bypass.agent.md"
"MultiThreader","cycle-04","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-04/multi-threader.agent.md"
"NicheExplorer","cycle-04","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-04/niche-explorer.agent.md"
"PartnerEcosystemScout","cycle-04","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-04/partner-ecosystem-scout.agent.md"
"RampUpAssistant","cycle-04","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-04/ramp-up-assistant.agent.md"
"StakeholderPersonaGenerator","cycle-04","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-04/stakeholder-persona-generator.agent.md"
"TranscriptCoach","cycle-04","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-04/transcript-coach.agent.md"
"VerticalTranslator","cycle-04","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-04/vertical-translator.agent.md"
"ContractDrafter","cycle-05","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-05/contract-drafter.agent.md"
"DeckCustomizer","cycle-05","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-05/deck-customizer.agent.md"
"DemoScripter","cycle-05","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-05/demo-scripter.agent.md"
"DiscountApprover","cycle-05","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-05/discount-approver.agent.md"
"EarlyAdopterNurturer","cycle-05","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-05/early-adopter-nurturer.agent.md"
"ExecSummaryGenerator","cycle-05","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-05/exec-summary-generator.agent.md"
"FastQuoter","cycle-05","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-05/fast-quoter.agent.md"
"GhostingPreventer","cycle-05","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-05/ghosting-preventer.agent.md"
"ICPRefiner","cycle-05","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-05/icp-refiner.agent.md"
"MultiYearDealModeller","cycle-05","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-05/multi-year-deal-modeller.agent.md"
"MutualActionTracker","cycle-05","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-05/mutual-action-tracker.agent.md"
"ObjectionFlashcard","cycle-05","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-05/objection-flashcard.agent.md"
"OrgNav","cycle-05","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-05/org-nav.agent.md"
"PaymentLinkSender","cycle-05","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-05/payment-link-sender.agent.md"
"PlaybookCreator","cycle-05","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-05/playbook-creator.agent.md"
"PricingTester","cycle-05","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-05/pricing-tester.agent.md"
"ProcurementHacker","cycle-05","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-05/procurement-hacker.agent.md"
"ProductFeedbackLooper","cycle-05","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-05/product-feedback-looper.agent.md"
"RFPAutoResponder","cycle-05","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-05/rfp-auto-responder.agent.md"
"ROICalculatorBuilder","cycle-05","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-05/roi-calculator-builder.agent.md"
"ArchitectureDiagrammer","cycle-06","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-06/architecture-diagrammer.agent.md"
"CompPlanCalculator","cycle-06","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-06/comp-plan-calculator.agent.md"
"DealAtRiskAlerter","cycle-06","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-06/deal-at-risk-alerter.agent.md"
"DemoSandboxer","cycle-06","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-06/demo-sandboxer.agent.md"
"DiscountLeakGuard","cycle-06","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-06/discount-leak-guard.agent.md"
"ExecutiveDemoCurator","cycle-06","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-06/executive-demo-curator.agent.md"
"LeaderboardBroadcaster","cycle-06","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-06/leaderboard-broadcaster.agent.md"
"MarketExpansionModeler","cycle-06","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-06/market-expansion-modeler.agent.md"
"OneOnOnePrep","cycle-06","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-06/one-on-one-prep.agent.md"
"PipelineInspector","cycle-06","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-06/pipeline-inspector.agent.md"
"PoCTracker","cycle-06","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-06/poc-tracker.agent.md"
"QuotaSetter","cycle-06","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-06/quota-setter.agent.md"
"ROIScenarioModeler","cycle-06","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-06/roi-scenario-modeler.agent.md"
"SecurityQuestionnaireFiller","cycle-06","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-06/security-questionnaire-filler.agent.md"
"StrategicAllianceScout","cycle-06","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-06/strategic-alliance-scout.agent.md"
"TechObjectionResolver","cycle-06","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-06/tech-objection-resolver.agent.md"
"TechStackAuditor","cycle-06","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-06/tech-stack-auditor.agent.md"
"UseCaseGenerator","cycle-06","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-06/use-case-generator.agent.md"
"ValueAligner","cycle-06","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-06/value-aligner.agent.md"
"WinLossAnalyzer","cycle-06","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-06/win-loss-analyzer.agent.md"
"ABTestAutomator","cycle-07","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-07/ab-test-automator.agent.md"
"ActivationOptimizer","cycle-07","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-07/activation-optimizer.agent.md"
"AdCopyMachine","cycle-07","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-07/ad-copy-machine.agent.md"
"AdFatigueMonitor","cycle-07","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-07/ad-fatigue-monitor.agent.md"
"BattlecardUpdater","cycle-07","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-07/battlecard-updater.agent.md"
"BidAutoAdjuster","cycle-07","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-07/bid-auto-adjuster.agent.md"
"CACLTVModeler","cycle-07","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-07/cacltv-modeler.agent.md"
"CampaignOrchestrator","cycle-07","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-07/campaign-orchestrator.agent.md"
"CreativeAssetTester","cycle-07","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-07/creative-asset-tester.agent.md"
"KeywordOpportunitySpotter","cycle-07","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-07/keyword-opportunity-spotter.agent.md"
"LandingPageMorpher","cycle-07","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-07/landing-page-morpher.agent.md"
"LaunchPlanner","cycle-07","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-07/launch-planner.agent.md"
"LeadMagnetCreator","cycle-07","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-07/lead-magnet-creator.agent.md"
"PersonaSync","cycle-07","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-07/persona-sync.agent.md"
"PlagiarismToneChecker","cycle-07","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-07/plagiarism-tone-checker.agent.md"
"PositioningTester","cycle-07","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-07/positioning-tester.agent.md"
"ReleaseNoteWriter","cycle-07","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-07/release-note-writer.agent.md"
"ROASMaximizer","cycle-07","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-07/roas-maximizer.agent.md"
"SEODraftWriter","cycle-07","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-07/seo-draft-writer.agent.md"
"TopicClusterPlanner","cycle-07","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-07/topic-cluster-planner.agent.md"
"ViralLoopTracker","cycle-07","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-07/viral-loop-tracker.agent.md"
"WebinarPromoter","cycle-07","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-07/webinar-promoter.agent.md"
"BacklinkScouter","cycle-08","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-08/backlink-scouter.agent.md"
"BrandGuidelineEnforcer","cycle-08","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-08/brand-guideline-enforcer.agent.md"
"CannibalizationDetector","cycle-08","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-08/cannibalization-detector.agent.md"
"ChurnWinBackSequencer","cycle-08","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-08/churn-win-back-sequencer.agent.md"
"ContentRepurposer","cycle-08","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-08/content-repurposer.agent.md"
"CrisisCommsDrafter","cycle-08","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-08/crisis-comms-drafter.agent.md"
"DashboardAutomator","cycle-08","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-08/dashboard-automator.agent.md"
"DataHygieneMonitor","cycle-08","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-08/data-hygiene-monitor.agent.md"
"DistributionAutomator","cycle-08","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-08/distribution-automator.agent.md"
"DripCampaignTrigger","cycle-08","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-08/drip-campaign-trigger.agent.md"
"InfluencerVettor","cycle-08","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-08/influencer-vettor.agent.md"
"LeadRoutingTroubleshooter","cycle-08","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-08/lead-routing-troubleshooter.agent.md"
"MarTechSync","cycle-08","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-08/mar-tech-sync.agent.md"
"NewsletterCurator","cycle-08","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-08/newsletter-curator.agent.md"
"OnPageOptimizer","cycle-08","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-08/on-page-optimizer.agent.md"
"PRScraper","cycle-08","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-08/pr-scraper.agent.md"
"SchemaMarkupGenerator","cycle-08","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-08/schema-markup-generator.agent.md"
"SentimentShiftAlerter","cycle-08","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-08/sentiment-shift-alerter.agent.md"
"SERPVolatilityTracker","cycle-08","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-08/serp-volatility-tracker.agent.md"
"SubjectLineTester","cycle-08","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-08/subject-line-tester.agent.md"
"UnsubscribePredictor","cycle-08","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-08/unsubscribe-predictor.agent.md"
"UTMBuilderBot","cycle-08","Media/Content","crescimento de audiência rentável","retenção de audiência, RPM, alcance qualificado",".github/agents/cycle-08/utm-builder-bot.agent.md"
"AdoptionMetricAnalyzer","cycle-09","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-09/adoption-metric-analyzer.agent.md"
"AhaMomentTracker","cycle-09","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-09/aha-moment-tracker.agent.md"
"AngryCustomerEscalator","cycle-09","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-09/angry-customer-escalator.agent.md"
"APIKeyConfigurator","cycle-09","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-09/api-key-configurator.agent.md"
"BestPracticeRecommender","cycle-09","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-09/best-practice-recommender.agent.md"
"CrossSellMapper","cycle-09","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-09/cross-sell-mapper.agent.md"
"CSATNPSAggregator","cycle-09","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-09/csatnps-aggregator.agent.md"
"CustomScriptGenerator","cycle-09","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-09/custom-script-generator.agent.md"
"DataMigrationValidator","cycle-09","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-09/data-migration-validator.agent.md"
"DelayEscalator","cycle-09","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-09/delay-escalator.agent.md"
"ExecutiveSponsorTracker","cycle-09","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-09/executive-sponsor-tracker.agent.md"
