name,family,path,type,domain,declared_function,status,quality,contract,use,action,associated_files,notes
journey-architect.agent,.github/agents,.github/agents/cycle-01/journey-architect.agent.md,prompt-manifest,cycle-01,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
market-sentinel.agent,.github/agents,.github/agents/cycle-01/market-sentinel.agent.md,prompt-manifest,cycle-01,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
narrative-weaver.agent,.github/agents,.github/agents/cycle-01/narrative-weaver.agent.md,prompt-manifest,cycle-01,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
pipeline-oracle.agent,.github/agents,.github/agents/cycle-01/pipeline-oracle.agent.md,prompt-manifest,cycle-01,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
pricing-optimizer.agent,.github/agents,.github/agents/cycle-01/pricing-optimizer.agent.md,prompt-manifest,cycle-01,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
quota-architect.agent,.github/agents,.github/agents/cycle-01/quota-architect.agent.md,prompt-manifest,cycle-01,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
sentiment-aggregator.agent,.github/agents,.github/agents/cycle-01/sentiment-aggregator.agent.md,prompt-manifest,cycle-01,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
spend-controller.agent,.github/agents,.github/agents/cycle-01/spend-controller.agent.md,prompt-manifest,cycle-01,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
tax-optimizer.agent,.github/agents,.github/agents/cycle-01/tax-optimizer.agent.md,prompt-manifest,cycle-01,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
trend-catcher.agent,.github/agents,.github/agents/cycle-01/trend-catcher.agent.md,prompt-manifest,cycle-01,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
vip-concierge.agent,.github/agents,.github/agents/cycle-01/vip-concierge.agent.md,prompt-manifest,cycle-01,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
agency-auditor.agent,.github/agents,.github/agents/cycle-02/agency-auditor.agent.md,prompt-manifest,cycle-02,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
board-reporting-automator.agent,.github/agents,.github/agents/cycle-02/board-reporting-automator.agent.md,prompt-manifest,cycle-02,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
bottleneck-detector.agent,.github/agents,.github/agents/cycle-02/bottleneck-detector.agent.md,prompt-manifest,cycle-02,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
burn-rate-monitor.agent,.github/agents,.github/agents/cycle-02/burn-rate-monitor.agent.md,prompt-manifest,cycle-02,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
capacity-planner.agent,.github/agents,.github/agents/cycle-02/capacity-planner.agent.md,prompt-manifest,cycle-02,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
channel-mixer.agent,.github/agents,.github/agents/cycle-02/channel-mixer.agent.md,prompt-manifest,cycle-02,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
compliance-enforcer.agent,.github/agents,.github/agents/cycle-02/compliance-enforcer.agent.md,prompt-manifest,cycle-02,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
deal-desk-autopilot.agent,.github/agents,.github/agents/cycle-02/deal-desk-autopilot.agent.md,prompt-manifest,cycle-02,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
executive-summary-bot.agent,.github/agents,.github/agents/cycle-02/executive-summary-bot.agent.md,prompt-manifest,cycle-02,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
forecast-rollup.agent,.github/agents,.github/agents/cycle-02/forecast-rollup.agent.md,prompt-manifest,cycle-02,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
fx-risk-manager.agent,.github/agents,.github/agents/cycle-02/fx-risk-manager.agent.md,prompt-manifest,cycle-02,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
global-brand-localizer.agent,.github/agents,.github/agents/cycle-02/global-brand-localizer.agent.md,prompt-manifest,cycle-02,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
health-score-architect.agent,.github/agents,.github/agents/cycle-02/health-score-architect.agent.md,prompt-manifest,cycle-02,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
marketing-tech-architect.agent,.github/agents,.github/agents/cycle-02/marketing-tech-architect.agent.md,prompt-manifest,cycle-02,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
playbook-generator.agent,.github/agents,.github/agents/cycle-02/playbook-generator.agent.md,prompt-manifest,cycle-02,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
procurement-policy-bot.agent,.github/agents,.github/agents/cycle-02/procurement-policy-bot.agent.md,prompt-manifest,cycle-02,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
renewal-forecast-engine.agent,.github/agents,.github/agents/cycle-02/renewal-forecast-engine.agent.md,prompt-manifest,cycle-02,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
rep-coach-ai.agent,.github/agents,.github/agents/cycle-02/rep-coach-ai.agent.md,prompt-manifest,cycle-02,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
resource-balancer.agent,.github/agents,.github/agents/cycle-02/resource-balancer.agent.md,prompt-manifest,cycle-02,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
scenario-modeler.agent,.github/agents,.github/agents/cycle-02/scenario-modeler.agent.md,prompt-manifest,cycle-02,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
strategic-partner-scout.agent,.github/agents,.github/agents/cycle-02/strategic-partner-scout.agent.md,prompt-manifest,cycle-02,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
supply-chain-sync.agent,.github/agents,.github/agents/cycle-02/supply-chain-sync.agent.md,prompt-manifest,cycle-02,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
territory-mapper.agent,.github/agents,.github/agents/cycle-02/territory-mapper.agent.md,prompt-manifest,cycle-02,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
tiering-optimizer.agent,.github/agents,.github/agents/cycle-02/tiering-optimizer.agent.md,prompt-manifest,cycle-02,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
vendor-negotiator.agent,.github/agents,.github/agents/cycle-02/vendor-negotiator.agent.md,prompt-manifest,cycle-02,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
account-mapper.agent,.github/agents,.github/agents/cycle-03/account-mapper.agent.md,prompt-manifest,cycle-03,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
calendar-sniper.agent,.github/agents,.github/agents/cycle-03/calendar-sniper.agent.md,prompt-manifest,cycle-03,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
cold-call-scripter.agent,.github/agents,.github/agents/cycle-03/cold-call-scripter.agent.md,prompt-manifest,cycle-03,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
data-cleaner.agent,.github/agents,.github/agents/cycle-03/data-cleaner.agent.md,prompt-manifest,cycle-03,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
enrichment-bot.agent,.github/agents,.github/agents/cycle-03/enrichment-bot.agent.md,prompt-manifest,cycle-03,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
follow-up-ghost.agent,.github/agents,.github/agents/cycle-03/follow-up-ghost.agent.md,prompt-manifest,cycle-03,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
inbound-scorer.agent,.github/agents,.github/agents/cycle-03/inbound-scorer.agent.md,prompt-manifest,cycle-03,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
intent-decoder.agent,.github/agents,.github/agents/cycle-03/intent-decoder.agent.md,prompt-manifest,cycle-03,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
objection-crusher.agent,.github/agents,.github/agents/cycle-03/objection-crusher.agent.md,prompt-manifest,cycle-03,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
personalization-engine.agent,.github/agents,.github/agents/cycle-03/personalization-engine.agent.md,prompt-manifest,cycle-03,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
routing-traffic-cop.agent,.github/agents,.github/agents/cycle-03/routing-traffic-cop.agent.md,prompt-manifest,cycle-03,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
target-scraper.agent,.github/agents,.github/agents/cycle-03/target-scraper.agent.md,prompt-manifest,cycle-03,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
trigger-event-watcher.agent,.github/agents,.github/agents/cycle-03/trigger-event-watcher.agent.md,prompt-manifest,cycle-03,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
voicemail-dropper.agent,.github/agents,.github/agents/cycle-03/voicemail-dropper.agent.md,prompt-manifest,cycle-03,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
webinar-nurturer.agent,.github/agents,.github/agents/cycle-03/webinar-nurturer.agent.md,prompt-manifest,cycle-03,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
activity-analyzer.agent,.github/agents,.github/agents/cycle-04/activity-analyzer.agent.md,prompt-manifest,cycle-04,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
annual-report-analyzer.agent,.github/agents,.github/agents/cycle-04/annual-report-analyzer.agent.md,prompt-manifest,cycle-04,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
competitor-displacement.agent,.github/agents,.github/agents/cycle-04/competitor-displacement.agent.md,prompt-manifest,cycle-04,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
content-to-lead.agent,.github/agents,.github/agents/cycle-04/content-to-lead.agent.md,prompt-manifest,cycle-04,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
conversion-forecaster.agent,.github/agents,.github/agents/cycle-04/conversion-forecaster.agent.md,prompt-manifest,cycle-04,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
event-qualifier.agent,.github/agents,.github/agents/cycle-04/event-qualifier.agent.md,prompt-manifest,cycle-04,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
gamification-master.agent,.github/agents,.github/agents/cycle-04/gamification-master.agent.md,prompt-manifest,cycle-04,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
gatekeeper-bypass.agent,.github/agents,.github/agents/cycle-04/gatekeeper-bypass.agent.md,prompt-manifest,cycle-04,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
multi-threader.agent,.github/agents,.github/agents/cycle-04/multi-threader.agent.md,prompt-manifest,cycle-04,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
niche-explorer.agent,.github/agents,.github/agents/cycle-04/niche-explorer.agent.md,prompt-manifest,cycle-04,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
partner-ecosystem-scout.agent,.github/agents,.github/agents/cycle-04/partner-ecosystem-scout.agent.md,prompt-manifest,cycle-04,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
ramp-up-assistant.agent,.github/agents,.github/agents/cycle-04/ramp-up-assistant.agent.md,prompt-manifest,cycle-04,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
stakeholder-persona-generator.agent,.github/agents,.github/agents/cycle-04/stakeholder-persona-generator.agent.md,prompt-manifest,cycle-04,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
transcript-coach.agent,.github/agents,.github/agents/cycle-04/transcript-coach.agent.md,prompt-manifest,cycle-04,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
vertical-translator.agent,.github/agents,.github/agents/cycle-04/vertical-translator.agent.md,prompt-manifest,cycle-04,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
contract-drafter.agent,.github/agents,.github/agents/cycle-05/contract-drafter.agent.md,prompt-manifest,cycle-05,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
deck-customizer.agent,.github/agents,.github/agents/cycle-05/deck-customizer.agent.md,prompt-manifest,cycle-05,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
demo-scripter.agent,.github/agents,.github/agents/cycle-05/demo-scripter.agent.md,prompt-manifest,cycle-05,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
discount-approver.agent,.github/agents,.github/agents/cycle-05/discount-approver.agent.md,prompt-manifest,cycle-05,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
early-adopter-nurturer.agent,.github/agents,.github/agents/cycle-05/early-adopter-nurturer.agent.md,prompt-manifest,cycle-05,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
exec-summary-generator.agent,.github/agents,.github/agents/cycle-05/exec-summary-generator.agent.md,prompt-manifest,cycle-05,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
fast-quoter.agent,.github/agents,.github/agents/cycle-05/fast-quoter.agent.md,prompt-manifest,cycle-05,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
ghosting-preventer.agent,.github/agents,.github/agents/cycle-05/ghosting-preventer.agent.md,prompt-manifest,cycle-05,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
icp-refiner.agent,.github/agents,.github/agents/cycle-05/icp-refiner.agent.md,prompt-manifest,cycle-05,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
multi-year-deal-modeller.agent,.github/agents,.github/agents/cycle-05/multi-year-deal-modeller.agent.md,prompt-manifest,cycle-05,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
mutual-action-tracker.agent,.github/agents,.github/agents/cycle-05/mutual-action-tracker.agent.md,prompt-manifest,cycle-05,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
objection-flashcard.agent,.github/agents,.github/agents/cycle-05/objection-flashcard.agent.md,prompt-manifest,cycle-05,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
org-nav.agent,.github/agents,.github/agents/cycle-05/org-nav.agent.md,prompt-manifest,cycle-05,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
payment-link-sender.agent,.github/agents,.github/agents/cycle-05/payment-link-sender.agent.md,prompt-manifest,cycle-05,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
playbook-creator.agent,.github/agents,.github/agents/cycle-05/playbook-creator.agent.md,prompt-manifest,cycle-05,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
pricing-tester.agent,.github/agents,.github/agents/cycle-05/pricing-tester.agent.md,prompt-manifest,cycle-05,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
procurement-hacker.agent,.github/agents,.github/agents/cycle-05/procurement-hacker.agent.md,prompt-manifest,cycle-05,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
product-feedback-looper.agent,.github/agents,.github/agents/cycle-05/product-feedback-looper.agent.md,prompt-manifest,cycle-05,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
rfp-auto-responder.agent,.github/agents,.github/agents/cycle-05/rfp-auto-responder.agent.md,prompt-manifest,cycle-05,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
roi-calculator-builder.agent,.github/agents,.github/agents/cycle-05/roi-calculator-builder.agent.md,prompt-manifest,cycle-05,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
architecture-diagrammer.agent,.github/agents,.github/agents/cycle-06/architecture-diagrammer.agent.md,prompt-manifest,cycle-06,﻿,Confuso,Ruim,Parcial,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
comp-plan-calculator.agent,.github/agents,.github/agents/cycle-06/comp-plan-calculator.agent.md,prompt-manifest,cycle-06,﻿,Confuso,Ruim,Parcial,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
deal-at-risk-alerter.agent,.github/agents,.github/agents/cycle-06/deal-at-risk-alerter.agent.md,prompt-manifest,cycle-06,﻿,Confuso,Ruim,Parcial,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
demo-sandboxer.agent,.github/agents,.github/agents/cycle-06/demo-sandboxer.agent.md,prompt-manifest,cycle-06,﻿,Confuso,Ruim,Parcial,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
discount-leak-guard.agent,.github/agents,.github/agents/cycle-06/discount-leak-guard.agent.md,prompt-manifest,cycle-06,﻿,Confuso,Ruim,Parcial,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
executive-demo-curator.agent,.github/agents,.github/agents/cycle-06/executive-demo-curator.agent.md,prompt-manifest,cycle-06,﻿,Confuso,Ruim,Parcial,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
leaderboard-broadcaster.agent,.github/agents,.github/agents/cycle-06/leaderboard-broadcaster.agent.md,prompt-manifest,cycle-06,﻿,Confuso,Ruim,Parcial,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
market-expansion-modeler.agent,.github/agents,.github/agents/cycle-06/market-expansion-modeler.agent.md,prompt-manifest,cycle-06,﻿,Confuso,Ruim,Parcial,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
one-on-one-prep.agent,.github/agents,.github/agents/cycle-06/one-on-one-prep.agent.md,prompt-manifest,cycle-06,﻿,Confuso,Ruim,Parcial,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
pipeline-inspector.agent,.github/agents,.github/agents/cycle-06/pipeline-inspector.agent.md,prompt-manifest,cycle-06,﻿,Confuso,Ruim,Parcial,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
poc-tracker.agent,.github/agents,.github/agents/cycle-06/poc-tracker.agent.md,prompt-manifest,cycle-06,﻿,Confuso,Ruim,Parcial,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
